impurity_strength,min_abs_energy,edge_weight,nu_ring
1.4,0.11314058801148466,9.444046378308344e-05,1
1.45,0.10493204285794151,8.493248370680426e-05,1
1.5,0.09690298017742525,7.726152351547838e-05,1
1.5499999999999998,0.08905550337452901,7.10185902106729e-05,1
1.5999999999999999,0.08139074098215555,6.590192546300285e-05,1
1.65,0.07390898161415344,6.168550032478329e-05,1
1.7,0.06660979243893327,5.8197679543375176e-05,1
1.75,0.05949212320362043,5.5306502418412316e-05,1
1.8,0.05255439757824706,5.290935570642687e-05,1
1.85,0.0457945933644057,5.092561559845861e-05,1
1.9,0.03921031291721464,4.929133053545228e-05,1
1.9500000000000002,0.03279884495927248,4.795532843005317e-05,1
2.0,0.02655721881718792,4.687633215452089e-05,1
2.05,0.020482251982404186,4.602079808527737e-05,1
2.1,0.014570591786032792,4.536127947749788e-05,1
2.15,0.008818751879918131,4.4875175098274645e-05,1
2.2,0.0032231441314808486,4.454376365210456e-05,-1
2.25,0.0022198935338711367,4.435145230986734e-05,-1
2.3,0.007514072873117827,4.4285187125203076e-05,1
2.35,0.012663134235031268,4.4333986926892136e-05,1
2.4000000000000004,0.01767082827369023,4.448857216729149e-05,1
2.45,0.02254090014367952,4.4741067364514206e-05,1
2.5,0.027277075891902428,4.5084761004406786e-05,1
2.55,0.03188305079352522,4.551391062127052e-05,1
2.6,0.03636247940823413,4.6023583639643406e-05,1
