gap_id,category,status,priority,evidence_status,current_artifact,missing_or_incomplete_artifact,blocking_reason,next_executable_action
G001,github_sync,missing,P0,missing,CURRENT-PROJECT-SPACE.md tracked in /workspace/memory,GitHub-tracked project root self-calibrating-diffractive-imaging-ncomms-2026-04-30T07-33-15Z,Project directory exists locally but is still untracked in the git-backed long-term space and no open-ai branch is present locally or remotely,Add the full project root into the git-backed repository and align the canonical branch record with an actual tracked branch
G002,natural_images,missing,P1,proxy-only,results/natural_objects/benchmark_root_subset_manifest.csv,Licensed ImageNet-1k / ILSVRC2012 validation files under data/natural_objects/imagenet-1k-ilsvrc2012-validation,Only proxy placeholder PNG files are staged; no benchmark-root raw files were found locally or in connected Drive,Stage licensed ImageNet validation files into the audited dataset root
G003,natural_images,missing,P1,proxy-only,results/natural_objects/benchmark_root_subset_manifest.csv,Licensed COCO 2017 validation files under data/natural_objects/coco-2017-validation,Only proxy placeholder PNG files are staged; no benchmark-root raw files were found locally or in connected Drive,Stage licensed COCO validation files into the audited dataset root
G004,natural_images,missing,P1,proxy-only,results/natural_objects/benchmark_root_summary.csv,results/natural_objects/benchmark_root_metrics.csv,No benchmark-root metrics can be generated until licensed natural-image files are staged,Run scripts/run_natural_object_evaluation.py after staging licensed files
G005,natural_images,missing,P1,proxy-only,results/natural_objects/benchmark_root_summary.csv,results/natural_objects/benchmark_root_per_seed.csv,Per-seed benchmark-root statistics do not exist because the benchmark-root run has not happened,Re-run natural-object pipeline on licensed benchmark-root subsets with per-seed export
G006,tolerance,missing,P1,simulation-only,results/tolerance/mixed_train_tolerance_metrics.csv,results/tolerance/tolerance_curve_summary.csv,Dense uncertainty-resolved tolerance sweep has not been exported yet,Extend scripts/run_mixed_train_tolerance.py to emit curve summary tables
G007,tolerance,missing,P1,simulation-only,results/tolerance/mixed_train_tolerance_metrics.csv,results/tolerance/tolerance_curve_detail.csv,Dense uncertainty-resolved tolerance sweep detail table has not been exported yet,Extend scripts/run_mixed_train_tolerance.py to emit curve detail tables
G008,tolerance,missing,P1,simulation-only,results/tolerance/method_fair_tolerance_matrix.csv,results/tolerance/tolerance_plot_manifest.csv,Figure-ready tolerance plot manifest is still absent,Build manifest after expanded tolerance sweep is exported
G009,tolerance,missing,P1,simulation-only,results/tolerance/hardware_tolerance_package.md,results/tolerance/hardware_tolerance_metrics.csv,Authoritative hardware-tolerance metrics file listed in project-space index is still missing,Promote expanded tolerance outputs into the named hardware-tolerance metrics file
G010,source_data_packaging,missing,P1,missing,source_data/source_data_index.csv,source_data/Fig1/ through source_data/Fig4/ and source_data/FigS1/ figure-level source-data folders,Figure-level source-data package has not been assembled yet,Build figure-by-figure source-data folders from the index
G011,figure_narrative,missing,P1,missing,manuscript/figure-captions-v1.md,Figure-specific claim-boundary note files adjacent to source-data folders,No dedicated figure-note package exists yet,Write one approved claim and one forbidden overclaim per figure
G012,manuscript_workflow,missing,P2,missing,manuscript/main-manuscript-v2-strict.md,manuscript/main.tex,LaTeX main manuscript workflow has not been materialized in the long-term project root,Create the manuscript .tex workflow when text and evidence stabilize
G013,manuscript_workflow,missing,P2,missing,manuscript/supplementary-methods-and-tables-v1.md,manuscript/supplement.tex,Supplement LaTeX workflow has not been materialized in the long-term project root,Create supplement .tex workflow when evidence packaging stabilizes
G014,physics_validity,missing,P2,missing,scripts/optics_propagation.py,manuscript/propagation-validity-note.md,Physics-validity supplement note is still absent,Write bounded propagation-validity note from active Fresnel model and sampling choices
G015,experimental,missing,P2,missing,results/tolerance/hardware_tolerance_package.md,results/experimental/device_description.md plus experimental package files,No fabricated-device or experimental anchor exists in the project root,Scope minimal experimental closure package if any real device data becomes available
G016,reproducibility,missing,P2,missing,config/project_manifest.json,archive/reproducibility_manifest.json,Project-wide reproducibility manifest has not been assembled yet,Build environment and hash inventory after file structure stabilizes
