method,seed,mean_psnr_gain,better_than_fixed_fraction,aggregation_scope,n_samples
parameter_matched_digital_surrogate,0,2.432605117534853,0.75,dual_ledger_pooled,
phase_only_stack,0,4.26293713082952,0.71875,dual_ledger_pooled,
reference_psf_deconvolution,0,2.6542637641662923,1.0,dual_ledger_pooled,
spectral_frontend,0,1.9839250452107724,0.7465277777777778,dual_ledger_pooled,
trainable_surrogate_ridge,0,1.3547946489318607,0.75,dual_ledger_pooled,
parameter_matched_digital_surrogate,1,2.36053549666438,0.75,dual_ledger_pooled,
phase_only_stack,1,4.231104292447874,0.8177083333333333,dual_ledger_pooled,
reference_psf_deconvolution,1,2.7431990402137494,1.0,dual_ledger_pooled,
spectral_frontend,1,1.827831393122422,0.7465277777777778,dual_ledger_pooled,
trainable_surrogate_ridge,1,1.3550660684420557,0.7447916666666666,dual_ledger_pooled,
parameter_matched_digital_surrogate,2,2.336694324321944,0.75,dual_ledger_pooled,
phase_only_stack,2,4.18518441577309,0.7916666666666667,dual_ledger_pooled,
reference_psf_deconvolution,2,2.6219661523370243,1.0,dual_ledger_pooled,
spectral_frontend,2,1.8514737385587272,0.7447916666666666,dual_ledger_pooled,
trainable_surrogate_ridge,2,1.3729000420611794,0.75,dual_ledger_pooled,
parameter_matched_digital_surrogate,3,2.461173141957762,0.75,dual_ledger_pooled,
phase_only_stack,3,4.155011172519713,0.7760416666666667,dual_ledger_pooled,
reference_psf_deconvolution,3,2.6794644224939885,1.0,dual_ledger_pooled,
spectral_frontend,3,2.00929125906348,0.7465277777777778,dual_ledger_pooled,
trainable_surrogate_ridge,3,1.4363646260103766,0.7395833333333334,dual_ledger_pooled,
parameter_matched_digital_surrogate,4,2.4352900890804148,0.75,dual_ledger_pooled,
phase_only_stack,4,3.7462689243984695,0.7552083333333333,dual_ledger_pooled,
reference_psf_deconvolution,4,2.648218008659043,1.0,dual_ledger_pooled,
spectral_frontend,4,1.8850849364348476,0.7361111111111112,dual_ledger_pooled,
trainable_surrogate_ridge,4,1.3954257036335944,0.75,dual_ledger_pooled,
parameter_matched_digital_surrogate,5,2.4014165087551707,0.75,dual_ledger_pooled,
phase_only_stack,5,4.251822642137515,0.7916666666666667,dual_ledger_pooled,
reference_psf_deconvolution,5,2.534755810123987,1.0,dual_ledger_pooled,
spectral_frontend,5,1.979576741811684,0.7447916666666666,dual_ledger_pooled,
trainable_surrogate_ridge,5,1.4342427777133384,0.75,dual_ledger_pooled,
parameter_matched_digital_surrogate,6,2.369152811201731,0.75,dual_ledger_pooled,
phase_only_stack,6,3.953807122742273,0.8020833333333333,dual_ledger_pooled,
reference_psf_deconvolution,6,2.786438114733947,1.0,dual_ledger_pooled,
spectral_frontend,6,1.8401589327707613,0.734375,dual_ledger_pooled,
trainable_surrogate_ridge,6,1.355727770939156,0.7291666666666666,dual_ledger_pooled,
parameter_matched_digital_surrogate,7,2.350687213230075,0.75,dual_ledger_pooled,
phase_only_stack,7,4.0744206447198,0.7447916666666666,dual_ledger_pooled,
reference_psf_deconvolution,7,2.9028235200497488,1.0,dual_ledger_pooled,
spectral_frontend,7,1.785972761254511,0.7447916666666666,dual_ledger_pooled,
trainable_surrogate_ridge,7,1.3101350186747711,0.7395833333333334,dual_ledger_pooled,
parameter_matched_digital_surrogate,8,2.414133302734885,0.75,dual_ledger_pooled,
phase_only_stack,8,4.006755169666528,0.828125,dual_ledger_pooled,
reference_psf_deconvolution,8,2.7508685959121264,1.0,dual_ledger_pooled,
spectral_frontend,8,1.8859439014753767,0.75,dual_ledger_pooled,
trainable_surrogate_ridge,8,1.4448299566621003,0.75,dual_ledger_pooled,
parameter_matched_digital_surrogate,9,2.369563195055367,0.75,dual_ledger_pooled,
phase_only_stack,9,3.703780520324104,0.7604166666666667,dual_ledger_pooled,
reference_psf_deconvolution,9,2.739267792453611,1.0,dual_ledger_pooled,
spectral_frontend,9,1.862613157954084,0.7430555555555556,dual_ledger_pooled,
trainable_surrogate_ridge,9,1.335916386246774,0.7447916666666666,dual_ledger_pooled,
